epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.167,1.80941,2.71393,2.13123,0.02445,0.19312,0.01214,0.0032,2.78649,9.15131,3.68832,0.000553496,0.000553496,0.000553496
2,918.567,1.98359,2.93295,2.33644,0.09488,0.13998,0.0359,0.00959,2.67354,4.05952,3.16719,0.00109624,0.00109624,0.00109624
3,1255.1,1.9047,2.88688,2.26971,0.08992,0.14502,0.04549,0.01397,2.41408,4.07081,2.85106,0.00162605,0.00162605,0.00162605
4,1782.97,1.84538,2.78515,2.20833,0.13894,0.23472,0.07449,0.02737,2.07985,3.27846,2.48131,0.00160875,0.00160875,0.00160875
5,2278.18,1.77733,2.69175,2.13196,0.15063,0.25073,0.12279,0.04512,2.07173,3.216,2.49561,0.00158934,0.00158934,0.00158934
6,2773.45,1.75896,2.6187,2.11878,0.24618,0.23738,0.13861,0.05469,2.09056,2.79136,2.55361,0.00156992,0.00156992,0.00156992
7,3395.91,1.69451,2.52948,2.07475,0.29301,0.32371,0.19672,0.08071,1.95905,2.63894,2.3798,0.00155051,0.00155051,0.00155051
8,3887.39,1.67294,2.47491,2.04123,0.2671,0.33919,0.19161,0.08365,1.83123,2.55254,2.26715,0.00153109,0.00153109,0.00153109
9,4282.05,1.65587,2.4488,2.02491,0.33873,0.31264,0.19988,0.08567,1.83705,2.5479,2.29762,0.00151167,0.00151167,0.00151167
10,4851.43,1.62093,2.42652,1.99792,0.34078,0.33428,0.26902,0.11522,1.80225,2.38025,2.22347,0.00149226,0.00149226,0.00149226
11,5329.02,1.60192,2.29269,1.97168,0.38425,0.35969,0.26549,0.1241,1.77958,2.37341,2.23655,0.00147284,0.00147284,0.00147284
12,5965.82,1.60012,2.28192,1.97563,0.41785,0.35252,0.29074,0.13137,1.86839,2.32037,2.28771,0.00145343,0.00145343,0.00145343
13,6403.51,1.57106,2.22043,1.9316,0.36027,0.34368,0.27043,0.1279,1.87723,2.27925,2.24774,0.00143401,0.00143401,0.00143401
14,7069.79,1.54832,2.18665,1.92717,0.33588,0.35442,0.29991,0.13368,1.78453,2.40303,2.18764,0.0014146,0.0014146,0.0014146
15,7457.78,1.54075,2.16432,1.90934,0.39336,0.43002,0.36303,0.1566,1.84704,2.08702,2.26665,0.00139518,0.00139518,0.00139518
16,8006.07,1.53483,2.10694,1.91158,0.4287,0.34037,0.34208,0.1658,1.75153,2.22589,2.1837,0.00137577,0.00137577,0.00137577
17,8326.76,1.50521,2.04398,1.88509,0.43411,0.46196,0.38154,0.16984,1.6827,2.01999,2.10894,0.00135635,0.00135635,0.00135635
18,9218.13,1.51126,2.02106,1.87221,0.39965,0.43676,0.38331,0.19445,1.60389,2.02418,2.04351,0.00133693,0.00133693,0.00133693
19,9805.3,1.47976,1.96272,1.86436,0.44826,0.37964,0.35658,0.16753,1.73393,2.05655,2.13982,0.00131752,0.00131752,0.00131752
20,10393.6,1.48823,1.96867,1.86546,0.46135,0.47099,0.43332,0.19869,1.74706,2.04778,2.16173,0.0012981,0.0012981,0.0012981
21,10860.1,1.44686,1.91437,1.83088,0.4508,0.4275,0.37425,0.1839,1.72177,2.02,2.11084,0.00127869,0.00127869,0.00127869
22,11497,1.4514,1.89286,1.83012,0.51687,0.42892,0.46811,0.22354,1.70408,1.86921,2.09471,0.00125927,0.00125927,0.00125927
23,12068.2,1.45321,1.85013,1.82894,0.47785,0.45566,0.40363,0.1953,1.68651,2.01887,2.10896,0.00123986,0.00123986,0.00123986
24,12604.5,1.43919,1.84378,1.81476,0.48356,0.4433,0.42032,0.20833,1.6858,1.85172,2.10902,0.00122044,0.00122044,0.00122044
